iter	Passed	Remaining
172	5487	311705
173	5516	311497
174	5545	311322
175	5575	311211
176	5605	311071
177	5633	310841
178	5661	310633
179	5688	310361
180	5716	310102
181	5745	309942
182	5772	309678
183	5801	309512
184	5831	309361
185	5857	309070
186	5886	308901
187	5913	308653
188	5943	308506
189	5970	308270
190	5999	308112
191	6026	307859
192	6054	307661
193	6084	307530
194	6111	307316
195	6140	307159
196	6168	306974
197	6196	306780
198	6230	306863
199	6260	306768
200	6294	306856
201	6327	306927
202	6357	306827
203	6385	306653
204	6413	306451
205	6441	306244
206	6469	306082
207	6501	306071
208	6531	305959
209	6560	305838
210	6590	305773
211	6621	305721
212	6653	305716
213	6684	305673
214	6714	305595
215	6746	305585
216	6776	305524
217	6807	305468
218	6836	305310
219	6863	305126
220	6894	305075
221	6923	304928
222	6953	304882
223	6983	304762
224	7013	304707
225	7042	304558
226	7071	304431
227	7099	304279
228	7128	304145
229	7158	304068
230	7187	303939
231	7219	303959
232	7249	303904
233	7278	303784
234	7308	303691
235	7337	303574
236	7366	303466
237	7396	303373
238	7426	303294
239	7455	303188
240	7486	303148
241	7515	303044
242	7547	303052
243	7577	302994
244	7607	302906
245	7635	302742
246	7663	302590
247	7691	302441
248	7719	302290
249	7747	302140
250	7776	302039
251	7804	301888
252	7833	301775
253	7860	301614
254	7888	301454
255	7916	301331
256	7947	301281
257	7975	301159
258	8004	301065
259	8032	300917
260	8060	300756
261	8089	300652
262	8118	300575
263	8146	300439
264	8174	300282
265	8201	300110
266	8229	299995
267	8257	299843
268	8285	299719
269	8314	299612
270	8342	299513
271	8376	299574
272	8405	299477
273	8433	299372
274	8462	299256
275	8492	299189
276	8519	299039
277	8547	298908
278	8577	298843
279	8604	298693
280	8633	298591
281	8665	298617
282	8697	298627
283	8728	298630
284	8760	298624
285	8788	298500
286	8820	298499
287	8850	298444
288	8881	298453
289	8908	298276
290	8937	298179
291	8967	298153
292	9001	298232
293	9034	298277
294	9065	298234
295	9094	298160
296	9123	298074
297	9154	298044
298	9184	298004
299	9215	297952
300	9246	297935
301	9277	297930
302	9305	297820
303	9336	297781
304	9367	297775
305	9396	297673
306	9425	297604
307	9457	297598
308	9484	297465
309	9517	297498
310	9547	297450
311	9577	297392
312	9605	297281
313	9632	297141
314	9661	297045
315	9690	296965
316	9719	296886
317	9747	296791
318	9776	296694
319	9804	296583
320	9832	296489
321	9861	296400
322	9891	296347
323	9919	296243
324	9947	296127
325	9974	296005
326	10003	295902
327	10031	295815
328	10059	295699
329	10090	295676
330	10118	295584
331	10146	295472
332	10173	295340
333	10203	295281
334	10232	295219
335	10259	295091
336	10286	294956
337	10314	294856
338	10342	294741
339	10355	294217
340	10383	294111
341	10410	293997
342	10439	293906
343	10467	293808
344	10495	293708
345	10522	293601
346	10552	293554
347	10581	293488
348	10611	293446
349	10641	293397
350	10670	293335
351	10701	293316
352	10732	293309
353	10763	293293
354	10792	293220
355	10822	293187
356	10851	293120
357	10884	293142
358	10916	293171
359	10945	293083
360	10976	293089
361	11008	293092
362	11036	292988
363	11065	292944
364	11098	292967
365	11128	292935
366	11158	292886
367	11187	292827
368	11217	292786
369	11246	292723
370	11276	292670
371	11308	292694
372	11340	292688
373	11371	292679
374	11402	292665
375	11432	292630
376	11462	292580
377	11493	292569
378	11523	292516
379	11550	292419
380	11578	292309
381	11604	292165
382	11632	292077
383	11661	292016
384	11688	291912
385	11715	291800
386	11745	291746
387	11772	291639
388	11801	291574
389	11829	291495
390	11858	291417
391	11886	291348
392	11917	291322
393	11945	291234
394	11972	291129
395	12001	291056
396	12028	290955
397	12057	290886
398	12083	290763
399	12112	290695
400	12140	290625
401	12168	290541
402	12196	290446
403	12227	290434
404	12256	290370
405	12283	290256
406	12311	290182
407	12339	290103
408	12367	290022
409	12395	289944
410	12424	289864
411	12452	289797
412	12480	289707
413	12508	289635
414	12540	289633
415	12568	289552
416	12596	289482
417	12626	289452
418	12658	289454
419	12691	289489
420	12721	289461
421	12754	289474
422	12784	289439
423	12816	289464
424	12848	289468
425	12879	289457
426	12911	289474
427	12943	289482
428	12972	289424
429	13002	289389
430	13034	289381
431	13062	289305
432	13092	289278
433	13125	289294
434	13157	289307
435	13184	289219
436	13214	289186
437	13248	289228
438	13277	289178
439	13307	289136
440	13337	289096
441	13367	289062
442	13395	288988
443	13424	288937
444	13455	288922
445	13486	288906
446	13517	288893
447	13549	288901
448	13577	288811
449	13604	288716
450	13634	288672
451	13661	288575
452	13690	288534
453	13719	288472
454	13746	288379
455	13776	288341
456	13805	288275
457	13833	288211
458	13861	288139
459	13890	288075
460	13920	288042
461	13948	287964
462	13976	287900
463	14005	287827
464	14034	287791
465	14063	287723
466	14091	287654
467	14118	287566
468	14148	287518
469	14177	287480
470	14205	287400
471	14233	287327
472	14263	287282
473	14294	287269
474	14323	287226
475	14351	287157
476	14379	287079
477	14406	286993
478	14435	286935
479	14468	286949
480	14496	286877
481	14525	286831
482	14556	286819
483	14586	286792
484	14616	286745
485	14644	286679
486	14675	286674
487	14706	286648
488	14735	286607
489	14765	286573
490	14797	286577
491	14826	286518
492	14855	286477
493	14887	286470
494	14916	286436
495	14948	286439
496	14978	286399
497	15011	286419
498	15040	286369
499	15071	286349
500	15101	286331
501	15130	286277
502	15161	286256
503	15193	286260
504	15224	286243
505	15254	286220
506	15283	286166
507	15314	286143
508	15344	286116
509	15374	286082
510	15404	286050
511	15435	286030
512	15463	285974
513	15494	285950
514	15523	285903
515	15556	285921
516	15584	285852
517	15611	285777
518	15640	285713
519	15668	285643
520	15697	285602
521	15725	285528
522	15752	285434
523	15778	285341
524	15806	285274
525	15836	285230
526	15865	285185
527	15892	285101
528	15920	285031
529	15949	284981
530	15978	284929
531	16006	284865
532	16034	284803
533	16063	284748
534	16092	284701
535	16120	284632
536	16147	284553
537	16174	284458
538	16201	284377
539	16228	284307
540	16256	284235
541	16285	284188
542	16312	284108
543	16339	284023
544	16366	283943
545	16394	283873
546	16423	283831
547	16450	283746
548	16478	283679
549	16507	283621
550	16536	283589
551	16566	283544
552	16594	283484
553	16623	283443
554	16653	283401
555	16683	283381
556	16714	283361
557	16743	283318
558	16773	283297
559	16805	283298
560	16838	283310
561	16869	283292
562	16898	283257
563	16927	283213
564	16958	283189
565	16988	283164
566	17020	283159
567	17051	283145
568	17082	283143
569	17112	283112
570	17143	283095
571	17173	283055
572	17204	283042
573	17236	283050
574	17265	283005
575	17293	282941
576	17323	282913
577	17353	282877
578	17382	282831
579	17411	282790
580	17443	282791
581	17474	282772
582	17503	282729
583	17532	282685
584	17561	282636
585	17590	282594
586	17618	282521
587	17646	282456
588	17672	282377
589	17701	282323
590	17729	282266
591	17756	282186
592	17785	282146
593	17814	282100
594	17843	282041
595	17872	281994
596	17899	281929
597	17926	281854
598	17955	281810
599	17987	281808
600	18014	281732
601	18043	281674
602	18072	281641
603	18100	281576
604	18129	281527
605	18158	281480
606	18185	281409
607	18212	281334
608	18241	281283
609	18270	281239
610	18298	281180
611	18326	281126
612	18353	281046
613	18381	280987
614	18409	280930
615	18436	280860
616	18464	280794
617	18491	280726
618	18516	280624
619	18544	280556
620	18574	280527
621	18603	280491
622	18633	280455
623	18663	280434
624	18693	280404
625	18722	280362
626	18752	280327
627	18782	280299
628	18812	280271
629	18844	280276
630	18876	280278
631	18905	280234
632	18935	280202
633	18969	280235
634	19000	280216
635	19030	280192
636	19057	280121
637	19088	280107
638	19117	280059
639	19148	280040
640	19179	280039
641	19209	280000
642	19237	279952
643	19268	279929
644	19299	279913
645	19328	279868
646	19358	279843
647	19389	279829
648	19414	279733
649	19445	279711
650	19475	279687
651	19504	279640
652	19535	279636
653	19564	279592
654	19593	279540
655	19620	279467
656	19647	279402
657	19674	279335
658	19703	279285
659	19732	279237
660	19761	279200
661	19789	279143
662	19817	279084
663	19844	279016
664	19873	278971
665	19901	278925
666	19929	278865
667	19958	278818
668	19986	278767
669	20015	278728
670	20044	278674
671	20073	278635
672	20100	278573
673	20129	278528
674	20157	278476
675	20184	278396
676	20213	278357
677	20241	278303
678	20267	278225
679	20298	278202
680	20326	278149
681	20354	278095
682	20383	278055
683	20410	277983
684	20438	277932
685	20468	277902
686	20497	277860
687	20530	277878
688	20558	277825
689	20588	277793
690	20619	277785
691	20650	277772
692	20681	277750
693	20710	277717
694	20738	277657
695	20766	277609
696	20798	277605
697	20827	277555
698	20857	277536
699	20889	277529
700	20921	277527
701	20950	277492
702	20979	277448
703	21010	277432
704	21041	277424
705	21071	277386
706	21101	277368
707	21133	277358
708	21163	277340
709	21194	277313
710	21222	277264
711	21251	277218
712	21279	277168
713	21310	277156
714	21343	277167
715	21370	277103
716	21400	277077
717	21432	277065
718	21463	277052
719	21492	277009
720	21521	276973
721	21550	276936
722	21580	276908
723	21609	276861
724	21636	276799
725	21665	276754
726	21692	276692
727	21720	276641
728	21749	276603
729	21778	276557
730	21807	276515
731	21834	276454
732	21863	276405
733	21892	276370
734	21919	276306
735	21946	276244
736	21975	276195
737	22002	276137
738	22032	276105
739	22061	276069
740	22088	276001
741	22116	275951
742	22143	275887
743	22173	275853
744	22202	275817
745	22229	275755
746	22256	275692
747	22282	275614
748	22310	275563
749	22338	275512
750	22367	275474
751	22394	275403
752	22423	275362
753	22453	275335
754	22480	275278
755	22507	275212
756	22539	275206
757	22567	275156
758	22596	275120
759	22626	275094
760	22656	275064
761	22685	275019
762	22714	274985
763	22745	274967
764	22776	274950
765	22806	274929
766	22838	274928
767	22871	274933
768	22902	274921
769	22933	274898
770	22967	274930
771	22998	274910
772	23028	274887
773	23060	274878
774	23088	274828
775	23119	274813
776	23149	274786
777	23180	274768
778	23208	274714
779	23238	274692
780	23269	274680
781	23302	274685
782	23332	274657
783	23362	274631
784	23390	274580
785	23420	274546
786	23451	274530
787	23484	274539
788	23513	274500
789	23540	274435
790	23567	274383
791	23597	274345
792	23625	274294
793	23651	274226
794	23678	274164
795	23705	274105
796	23733	274053
797	23763	274021
798	23790	273960
799	23817	273906
800	23846	273858
801	23873	273804
802	23902	273758
803	23933	273742
804	23964	273727
805	23993	273693
806	24022	273652
807	24049	273587
808	24080	273572
809	24107	273518
810	24135	273470
811	24164	273429
812	24194	273403
813	24222	273352
814	24252	273319
815	24280	273275
816	24308	273230
817	24337	273189
818	24366	273148
819	24393	273089
820	24422	273047
821	24454	273047
822	24482	272994
823	24512	272973
824	24541	272933
825	24573	272928
826	24604	272914
827	24635	272891
828	24666	272874
829	24697	272867
830	24728	272846
831	24757	272806
832	24788	272788
833	24818	272765
834	24847	272724
835	24878	272716
836	24908	272684
837	24937	272647
838	24967	272618
839	24999	272610
840	25034	272646
841	25081	272793
842	25133	273009
843	25187	273247
844	25236	273421
845	25282	273559
846	25322	273649
847	25360	273699
848	25398	273762
849	25438	273833
850	25476	273890
851	25514	273948
852	25552	274012
853	25590	274061
854	25628	274115
855	25665	274168
856	25702	274206
857	25739	274254
858	25782	274360
859	25829	274513
860	25867	274566
861	25902	274589
862	25935	274593
863	25970	274611
864	26003	274615
865	26038	274635
866	26071	274641
867	26113	274734
868	26222	275529
869	26258	275568
870	26310	275759
871	26371	276057
872	26406	276077
873	26440	276081
874	26474	276096
875	26511	276132
876	26547	276164
877	26580	276163
878	26616	276189
879	26653	276223
880	26688	276249
881	26724	276278
882	26758	276281
883	26793	276303
884	26830	276342
885	26874	276444
886	26908	276457
887	26943	276474
888	26978	276489
889	27015	276531
890	27052	276565
891	27088	276598
892	27124	276620
893	27160	276643
894	27196	276672
895	27232	276703
896	27269	276740
897	27302	276734
898	27337	276749
899	27373	276774
900	27409	276800
901	27444	276818
902	27479	276833
903	27515	276857
904	27548	276856
905	27584	276882
906	27619	276891
907	27654	276907
908	27690	276930
909	27723	276934
910	27758	276943
911	27792	276952
912	27826	276954
913	27858	276940
914	27900	277018
915	27936	277050
916	27968	277033
917	28002	277032
918	28038	277063
919	28072	277064
920	28109	277093
921	28142	277094
922	28177	277106
923	28215	277147
924	28253	277189
925	28293	277252
926	28330	277287
927	28366	277303
928	28399	277303
929	28434	277310
930	28466	277298
931	28499	277292
932	28532	277286
933	28564	277266
934	28598	277264
935	28630	277252
936	28664	277255
937	28701	277287
938	28733	277268
939	28766	277257
940	28801	277271
941	28834	277259
942	28867	277257
943	28907	277320
944	28941	277314
945	28975	277314
946	29008	277311
947	29038	277276
948	29072	277276
949	29107	277287
950	29141	277287
951	29177	277306
952	29210	277300
953	29243	277293
954	29277	277289
955	29311	277292
956	29343	277273
957	29377	277273
958	29411	277273
959	29443	277260
960	29477	277258
961	29510	277247
962	29543	277238
963	29574	277215
964	29606	277197
965	29638	277174
966	29670	277157
967	29702	277141
968	29734	277118
969	29765	277096
970	29798	277083
971	29831	277074
972	29862	277051
973	29894	277031
974	29932	277072
975	29964	277050
976	29999	277060
977	30031	277036
978	30062	277015
979	30096	277010
980	30127	276981
981	30157	276947
982	30190	276938
983	30223	276924
984	30254	276895
985	30285	276868
986	30317	276848
987	30348	276824
988	30380	276805
989	30411	276775
990	30443	276752
991	30473	276715
992	30506	276710
993	30539	276702
994	30573	276695
995	30606	276689
996	30641	276696
997	30674	276684
998	30707	276677
999	30741	276674
1000	30772	276641
1001	30805	276633
1002	30839	276637
1003	30872	276621
1004	30905	276610
1005	30941	276627
1006	30976	276637
1007	31011	276637
1008	31046	276646
1009	31078	276628
1010	31112	276623
1011	31145	276612
1012	31182	276636
1013	31217	276644
1014	31250	276632
1015	31281	276604
1016	31314	276599
1017	31345	276566
1018	31381	276585
1019	31415	276576
1020	31447	276559
1021	31480	276545
1022	31512	276529
1023	31545	276518
1024	31579	276513
1025	31610	276487
1026	31643	276469
1027	31673	276430
1028	31705	276417
1029	31736	276385
1030	31767	276358
1031	31797	276319
1032	31828	276288
1033	31860	276271
1034	31893	276256
1035	31924	276225
1036	31956	276208
1037	31992	276222
1038	32022	276185
1039	32056	276179
1040	32086	276138
1041	32118	276119
1042	32149	276094
1043	32183	276086
1044	32216	276071
1045	32248	276054
1046	32279	276028
1047	32311	276003
1048	32343	275982
1049	32374	275950
1050	32405	275922
1051	32436	275891
1052	32471	275898
1053	32505	275892
1054	32536	275864
1055	32568	275844
1056	32599	275812
1057	32630	275788
1058	32661	275755
1059	32694	275744
1060	32725	275718
1061	32757	275695
1062	32791	275687
1063	32822	275662
1064	32854	275636
1065	32887	275621
1066	32919	275603
1067	32952	275590
1068	32997	275676
1069	33026	275632
1070	33059	275622
1071	33091	275595
1072	33123	275573
1073	33155	275551
1074	33187	275534
1075	33224	275556
1076	33255	275525
1077	33286	275494
1078	33320	275484
1079	33351	275459
1080	33383	275438
1081	33418	275436
1082	33448	275400
1083	33478	275367
1084	33512	275362
1085	33543	275331
1086	33574	275294
1087	33606	275279
1088	33640	275269
1089	33673	275254
1090	33704	275230
1091	33736	275209
1092	33769	275189
1093	33801	275168
1094	33834	275153
1095	33867	275145
1096	33899	275122
1097	33931	275094
1098	33962	275070
1099	33995	275056
1100	34036	275101
1101	34066	275068
1102	34096	275026
1103	34127	274996
1104	34160	274985
1105	34190	274948
1106	34222	274923
1107	34254	274901
1108	34287	274889
1109	34320	274870
1110	34352	274849
1111	34385	274835
1112	34416	274805
1113	34448	274786
1114	34478	274746
1115	34510	274727
1116	34546	274731
1117	34578	274707
1118	34610	274690
1119	34642	274668
1120	34676	274660
1121	34710	274651
1122	34743	274637
1123	34774	274607
1124	34807	274589
1125	34839	274571
1126	34871	274543
1127	34903	274526
1128	34940	274540
1129	34973	274527
1130	35004	274495
1131	35049	274573
1132	35080	274542
1133	35111	274516
1134	35145	274504
1135	35177	274485
1136	35211	274475
1137	35247	274483
1138	35282	274486
1139	35314	274460
1140	35346	274440
1141	35378	274417
1142	35411	274396
1143	35442	274367
1144	35478	274376
1145	35509	274348
1146	35541	274321
1147	35572	274289
1148	35603	274263
1149	35636	274242
1150	35668	274226
1151	35700	274199
1152	35733	274181
1153	35766	274167
1154	35798	274144
1155	35831	274127
1156	35862	274101
1157	35895	274081
1158	35927	274057
1159	35958	274031
1160	35992	274024
1161	36023	273991
1162	36059	273996
1163	36087	273944
1164	36115	273891
1165	36145	273849
1166	36174	273803
1167	36202	273753
1168	36229	273691
1169	36259	273649
1170	36288	273603
1171	36316	273553
1172	36344	273501
1173	36372	273445
1174	36400	273391
1175	36427	273330
1176	36457	273290
1177	36488	273260
1178	36517	273217
1179	36546	273170
1180	36577	273138
1181	36607	273099
1182	36635	273046
1183	36666	273018
1184	36700	273005
1185	36728	272953
1186	36757	272908
1187	36787	272873
1188	36815	272821
1189	36843	272767
1190	36873	272727
1191	36904	272700
1192	36934	272657
1193	36963	272613
1194	36993	272575
1195	37023	272539
1196	37058	272539
1197	37087	272488
1198	37117	272451
1199	37145	272396
1200	37176	272368
1201	37206	272332
1202	37236	272293
1203	37268	272270
1204	37300	272249
1205	37329	272202
1206	37359	272161
1207	37390	272131
1208	37421	272099
1209	37449	272050
1210	37478	272004
1211	37506	271954
1212	37538	271928
1213	37567	271884
1214	37594	271826
1215	37623	271782
1216	37652	271737
1217	37681	271691
1218	37709	271636
1219	37739	271598
1220	37766	271543
1221	37793	271483
1222	37822	271434
1223	37848	271374
1224	37877	271329
1225	37905	271277
1226	37934	271228
1227	37960	271161
1228	37988	271111
1229	38017	271064
1230	38045	271018
1231	38080	271017
1232	38109	270967
1233	38136	270912
1234	38165	270865
1235	38193	270816
1236	38222	270770
1237	38251	270725
1238	38281	270686
1239	38310	270642
1240	38338	270593
1241	38366	270540
1242	38394	270491
1243	38422	270443
1244	38450	270388
1245	38480	270352
1246	38508	270303
1247	38539	270269
1248	38569	270231
1249	38600	270200
1250	38628	270150
1251	38657	270111
1252	38686	270061
1253	38715	270021
1254	38746	269989
1255	38775	269948
1256	38804	269900
1257	38833	269856
1258	38862	269818
1259	38893	269782
1260	38925	269764
1261	38954	269721
1262	38984	269682
1263	39013	269637
1264	39043	269597
1265	39072	269559
1266	39109	269569
1267	39138	269524
1268	39166	269473
1269	39194	269424
1270	39224	269386
1271	39253	269344
1272	39283	269309
1273	39315	269283
1274	39348	269270
1275	39380	269245
1276	39410	269205
1277	39438	269158
1278	39467	269113
1279	39498	269081
1280	39526	269036
1281	39555	268988
1282	39582	268931
1283	39612	268893
1284	39641	268853
1285	39673	268831
1286	39702	268788
1287	39730	268737
1288	39759	268689
1289	39787	268643
1290	39816	268601
1291	39844	268546
1292	39872	268497
1293	39899	268441
1294	39928	268397
1295	39955	268344
1296	39985	268303
1297	40013	268256
1298	40042	268210
1299	40069	268158
1300	40097	268108
1301	40135	268126
1302	40163	268077
1303	40192	268033
1304	40221	267985
1305	40249	267940
1306	40277	267890
1307	40306	267845
1308	40335	267806
1309	40363	267754
1310	40390	267700
1311	40418	267651
1312	40449	267622
1313	40480	267591
1314	40511	267559
1315	40542	267531
1316	40572	267491
1317	40599	267438
1318	40629	267399
1319	40659	267364
1320	40690	267336
1321	40719	267292
1322	40749	267259
1323	40780	267231
1324	40810	267192
1325	40840	267156
1326	40871	267130
1327	40902	267097
1328	40931	267057
1329	40962	267024
1330	40993	266993
1331	41022	266955
1332	41052	266920
1333	41083	266887
1334	41114	266856
1335	41149	266856
1336	41180	266826
1337	41210	266788
1338	41239	266748
1339	41271	266722
1340	41304	266711
1341	41334	266674
1342	41364	266638
1343	41396	266613
1344	41427	266582
1345	41456	266540
1346	41484	266494
1347	41512	266446
1348	41540	266397
1349	41568	266347
1350	41596	266296
1351	41624	266247
1352	41652	266201
1353	41681	266159
1354	41711	266120
1355	41739	266072
1356	41766	266021
1357	41793	265966
1358	41822	265922
1359	41852	265885
1360	41879	265834
1361	41907	265782
1362	41936	265741
1363	41966	265703
1364	41994	265654
1365	42021	265603
1366	42049	265551
1367	42075	265496
1368	42103	265444
1369	42132	265406
1370	42172	265431
1371	42200	265383
1372	42227	265331
1373	42256	265289
1374	42285	265245
1375	42312	265193
1376	42341	265151
1377	42371	265112
1378	42400	265071
1379	42430	265036
1380	42460	264999
1381	42491	264970
1382	42522	264945
1383	42552	264910
1384	42580	264859
1385	42610	264821
1386	42640	264790
1387	42674	264781
1388	42703	264737
1389	42733	264700
1390	42761	264656
1391	42792	264623
1392	42822	264590
1393	42852	264552
1394	42882	264518
1395	42912	264483
1396	42941	264444
1397	42971	264406
1398	43000	264364
1399	43029	264324
1400	43060	264292
1401	43089	264252
1402	43119	264218
1403	43148	264179
1404	43182	264163
1405	43217	264162
1406	43247	264128
1407	43277	264093
1408	43306	264049
1409	43336	264016
1410	43367	263987
1411	43396	263945
1412	43428	263921
1413	43458	263887
1414	43486	263841
1415	43515	263794
1416	43544	263754
1417	43572	263706
1418	43600	263661
1419	43629	263618
1420	43657	263574
1421	43685	263523
1422	43711	263467
1423	43739	263420
1424	43767	263371
1425	43795	263327
1426	43824	263285
1427	43851	263232
1428	43880	263191
1429	43909	263149
1430	43937	263100
1431	43966	263063
1432	43994	263012
1433	44021	262964
1434	44050	262923
1435	44080	262887
1436	44108	262839
1437	44136	262792
1438	44164	262744
1439	44196	262723
1440	44229	262706
1441	44257	262657
1442	44283	262602
1443	44311	262552
1444	44339	262507
1445	44367	262461
1446	44395	262414
1447	44426	262383
1448	44456	262352
1449	44489	262336
1450	44519	262299
1451	44546	262250
1452	44576	262210
1453	44605	262173
1454	44635	262140
1455	44666	262107
1456	44695	262070
1457	44725	262034
1458	44756	262002
1459	44785	261966
1460	44816	261933
1461	44845	261896
1462	44877	261872
1463	44907	261839
1464	44936	261796
1465	44969	261777
1466	44996	261730
1467	45028	261704
1468	45059	261675
1469	45090	261647
1470	45120	261612
1471	45150	261580
1472	45182	261555
1473	45214	261529
1474	45247	261514
1475	45276	261475
1476	45305	261434
1477	45333	261389
1478	45365	261363
1479	45396	261336
1480	45425	261296
1481	45454	261254
1482	45484	261223
1483	45512	261175
1484	45540	261129
1485	45569	261089
1486	45596	261035
1487	45625	260995
1488	45652	260945
1489	45685	260928
1490	45714	260888
1491	45743	260848
1492	45773	260811
1493	45799	260757
1494	45827	260709
1495	45855	260664
1496	45884	260623
1497	45912	260581
1498	45940	260536
1499	45970	260497
1500	45998	260453
1501	46027	260411
1502	46055	260368
1503	46083	260324
1504	46112	260281
1505	46138	260226
1506	46166	260179
1507	46195	260140
1508	46225	260105
1509	46258	260090
1510	46286	260045
1511	46315	260003
1512	46343	259960
1513	46370	259909
1514	46399	259870
1515	46431	259846
1516	46461	259812
1517	46492	259784
1518	46523	259751
1519	46552	259716
1520	46582	259681
1521	46614	259656
1522	46642	259613
1523	46672	259579
1524	46704	259551
1525	46735	259523
1526	46763	259481
1527	46793	259446
1528	46825	259422
1529	46854	259384
1530	46885	259354
1531	46915	259323
1532	46945	259286
1533	46976	259256
1534	47006	259226
1535	47037	259196
1536	47068	259167
1537	47097	259129
1538	47128	259101
1539	47156	259055
1540	47185	259014
1541	47214	258974
1542	47255	259003
1543	47284	258962
1544	47314	258926
1545	47345	258899
1546	47374	258862
1547	47403	258819
1548	47430	258772
1549	47460	258738
1550	47491	258708
1551	47521	258671
1552	47549	258626
1553	47578	258587
1554	47608	258553
1555	47635	258504
1556	47663	258459
1557	47691	258413
1558	47720	258374
1559	47748	258331
1560	47775	258283
1561	47803	258234
1562	47831	258193
1563	47860	258155
1564	47889	258115
1565	47917	258067
1566	47945	258022
1567	47974	257987
1568	48002	257942
1569	48032	257908
1570	48062	257872
1571	48089	257822
1572	48117	257781
1573	48146	257739
1574	48175	257698
1575	48206	257671
1576	48236	257637
1577	48269	257619
1578	48297	257574
1579	48324	257529
1580	48353	257486
1581	48382	257447
1582	48410	257406
1583	48439	257367
1584	48471	257341
1585	48499	257297
1586	48528	257259
1587	48558	257226
1588	48589	257198
1589	48620	257168
1590	48652	257146
1591	48686	257132
1592	48716	257097
1593	48744	257056
1594	48774	257022
1595	48803	256980
1596	48832	256941
1597	48864	256919
1598	48893	256883
1599	48922	256843
1600	48951	256804
1601	48980	256764
1602	49010	256730
1603	49040	256696
1604	49070	256666
1605	49099	256626
1606	49129	256591
1607	49160	256562
1608	49189	256524
1609	49220	256495
1610	49250	256462
1611	49288	256472
1612	49317	256434
1613	49348	256404
1614	49378	256368
1615	49405	256322
1616	49432	256271
1617	49459	256225
1618	49487	256182
1619	49518	256150
1620	49549	256122
1621	49576	256075
1622	49605	256033
1623	49633	255993
1624	49662	255950
1625	49688	255899
1626	49714	255847
1627	49744	255812
1628	49771	255764
1629	49800	255725
1630	49829	255683
1631	49855	255630
1632	49883	255589
1633	49910	255540
1634	49937	255490
1635	49963	255438
1636	49992	255396
1637	50020	255355
1638	50047	255307
1639	50077	255270
1640	50106	255236
1641	50133	255187
1642	50162	255149
1643	50192	255115
1644	50220	255073
1645	50248	255030
1646	50277	254991
1647	50309	254966
1648	50337	254921
1649	50366	254882
1650	50393	254837
1651	50423	254802
1652	50456	254786
1653	50486	254752
1654	50516	254719
1655	50547	254691
1656	50578	254662
1657	50609	254634
1658	50639	254602
1659	50668	254562
1660	50697	254527
1661	50728	254495
1662	50758	254463
1663	50788	254433
1664	50817	254394
1665	50847	254358
